,Name,Description,One-Handed Damage,Two-Handed Damage,Main Damage Type,Extra Damage,Extra Damage Type,Type,Rarity,Enchantment,Wielding-Type,Throwable,Dippable,Extra Reach,Light,Melee/Range,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Action 1,Action 2,Action 3,Action 4,Special Action 1,Special Action 2,Special Action 3,Special Action 4,Location,Img url,UID,UUID
11,Ironwood Club,Ironwood Club is an uncommon +1 Club that deals extra Bludgeoning damage when Shillelagh is cast on it.,1d4 + 1 (2~5) + Strength modifier,,Bludgeoning damage,,,Clubs,Uncommon,+1,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,65 gp,"When Shillelagh is cast on this weapon, grants Ironwood Harmony (+1d4 Bludgeoning damage).",,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,Backbreaker: Put extra force behind your strike to possibly knock your enemy Prone.,,,,,,,Ironwood Harmony  Deals an additional 1d4Bludgeoning while imbued with the druidic magic of Shillelagh.,https://bg3.wiki/w/images/thumb/7/7d/Wood_Woad_Twisting_Branch_Icon.png/300px-Wood_Woad_Twisting_Branch_Icon.png,MAG_Druid_IronWood_Club,67ce5d1a-e0cd-48ce-94a9-9a17615e13d9
12,Salami,"Salami is a mundane, nonmagical variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.",1d4 (1~4) + Strength modifier,,Bludgeoning damage,,,Clubs,Common,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,10 gp,,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,,https://bg3.wiki/w/images/thumb/1/14/FOOD_Dried_Beef_Sausage_Faded.png/300px-FOOD_Dried_Beef_Sausage_Faded.png,WPN_HUM_Salami_A,e082f373-81ec-4f4b-818b-9ee86952e2fa
13,Shadow Lantern,Shadow Lantern is a unique type of Moonlantern which does not produce light and grants the unique Conjure Shadow Lantern Wraith spell.,1d4 (1~4) + Strength modifier,1d6 (1~6) + Strength modifier,Bludgeoning damage,,,Clubs,Rare,None,Versatile,False,False,False,True,1.5m / 5 ft,0.9kg / 1.8lb,190 gp,Conjure Shadow Lantern Wraith: Cast as a level 6 spell (Recharge: Long rest).,,,,,,,,,,,,"Obtainable from Balthazar's hidden room in Moonrise Towers when Gale is in the party:  To access Balthazar's hidden room, interact with the top right Protruding Book ('Musty Tomes') and insert one of the human hearts from the room into the small Ancient Altar. Within the hidden room, interact with the ritual circle with Gale and combine a Dead Pixie with a Broken Moonlantern. Any other character can try to craft the lantern, but must first overcome Gale's protests and a DC 30 Arcana check.",https://bg3.wiki/w/images/thumb/d/d7/Moonlantern_Icon.png/300px-Moonlantern_Icon.png,UNI_GLO_Moonlantern_Gale,c9ebcfae-8c9a-4acc-8a30-da7830b32121
14,Torch,Torch is utility item as a light source and doubles as improvised weapon of the Clubs family. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Can ignite flammable surfaces or clouds if it makes proper contact.,1d4 (1~4) + Strength modifier,,Bludgeoning damage,1d4 (1~4),Fire damage,Clubs,Common,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,10 gp,,,,,,,,,,,,,Found throughout the game.,https://bg3.wiki/w/images/thumb/d/d5/Torch_Faded.png/300px-Torch_Faded.png,WPN_HUM_Torch_A,50c43f27-a12e-412c-88f0-56e15eba692a
15,Torch of Revocation,Torch of Revocation is a very rare +1 utility item carried by Mystic Carrion and used in exorcisms.,1d4 + 1 (2~5) + Strength modifier,,Bludgeoning damage,1d4 (1~4),Necrotic damage,Clubs,Very Rare,+1,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,145 gp,,,,,,,,,,,,,"Dropped by Mystic Carrion, given as a potential reward for Find Mystic Carrion's Servant, or sold by him through dialogue for 3000 gold. Can also be stolen from the locked chest behind him.",https://bg3.wiki/w/images/thumb/e/ec/Torch_of_Revocation_Icon.png/300px-Torch_of_Revocation_Icon.png,UNI_LOW_TorchOfRevocation,88be0257-cd9a-4922-85c9-178ad8579af2
16,Torch of True Revocation,,,,,,,,,,,False,False,False,False,,,,,,,,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
17,Twisting Branch,Twisting Branch is a common variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.,1d4 (1~4) + Strength modifier,,Bludgeoning damage,,,Clubs,Common,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,10 gp,,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,Dropped by Wood Woad.,https://bg3.wiki/w/images/thumb/7/7d/Wood_Woad_Twisting_Branch_Icon.png/300px-Wood_Woad_Twisting_Branch_Icon.png,WPN_Wood_Woad_Club,c71e2798-31ae-4f57-8073-c6195c2e9d02
18,Whipping Cane,"Whipping Cane is a mundane, nonmagical variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. It has the same stats as a Club, making it a relatively useless weapon.",1d4 (1~4) + Strength modifier,,Bludgeoning damage,,,Clubs,Common,None,One-Handed,False,True,False,True,1.5m / 5 ft,0.9kg / 1.8lb,10 gp,,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,Found around the Duergar camp in Grymforge. Carried by some Duergar NPCs.,https://bg3.wiki/w/images/thumb/9/9d/Duergar_Whipping_Cane_Faded.png/300px-Duergar_Whipping_Cane_Faded.png,WPN_DUE_Whipping_Cane_A_0,3a9e4e60-9f58-4fb9-8a16-4cf784ad6f0d
19,Dart,"Dart is a mundane, nonmagical variant of the Darts family of weapons. It is a simple ranged weapon that's wielded with both hands. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength.",,1d4 (1~4) + Strength or Dexterity modifier,Piercing damage,,,Darts,Common,None,Two-Handed,False,True,False,False,18m / 60ft,0.225kg / 0.45lb,1 gp,,,,,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll ranged damage twice and use the highest result.",,,,,,,,Currently can not be found in-game.,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,,
20,Dart +1,"Dart +1 is an uncommon, lightly enchanted (+1) variant of the Darts family of weapons. It is a simple ranged weapon that's wielded with both hands. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength.",,1d4 + 1 (2~5) + Strength or Dexterity modifier,Piercing damage,,,Darts,Uncommon,+1,Two-Handed,False,True,False,False,18m / 60ft,0.225kg / 0.45lb,1 gp,,,,,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll ranged damage twice and use the highest result.",,,,,,,,Currently can not be found in-game.,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,,
21,Dart +2,"Dart +2 is a rare, moderately enchanted (+2) variant of the Darts family of weapons. It is a simple ranged weapon that's wielded with both hands. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength.",,1d4 + 2 (3~6) + Strength or Dexterity modifier,Piercing damage,,,Darts,Rare,+2,Two-Handed,False,True,False,False,18m / 60ft,0.225kg / 0.45lb,1 gp,,,,,"Brace (6m / 20ft): Spend 6m / 20ft of your movement. For the rest of your turn, roll ranged damage twice and use the highest result.",,,,,,,,Currently can not be found in-game.,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,,
22,Arcane Absorption Dagger,"Arcane Absorption Dagger is a very rare, lightly enchanted (+1) variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",1d4 + 1 (2~5) + Strength or Dexterity modifier,,Force damage,,,Daggers,Very Rare,+1,One-Handed,True,False,False,True,1.5m / 5 ft,0.45kg / 0.9lb,480 gp / 1550 gpHHonour,"Arcane Absorption: When you kill an enemy with a melee attack, regain one of your spent 1st Level spell slots.",,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,This weapon appears to be currently unobtainable without cheats or mods.,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_ArcaneAbsorption_Dagger,cf89e4d8-485c-4cef-8098-959834cc8ac1
23,Assassin's Touch,Assassin's Touch is an uncommon +1 dagger that deals additional damage to Sleeping or Knocked Out targets.,1d4 + 1 (2~5) + Strength or Dexterity modifier,,Piercing damage,,,Daggers,Uncommon,+1,One-Handed,True,True,False,True,1.5m / 5 ft,0.45kg / 0.9lb,40 gp,Deathly Slumber: Deals an additional 1d4Necrotic to creatures that are Knocked Out or Sleeping.,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,Reward for completing the quest Save the Goblin Sazza by escorting Sazza to the Goblin Camp.,https://bg3.wiki/w/images/thumb/d/de/Dagger_Icon.png/300px-Dagger_Icon.png,DEN_CapturedGoblin_MurderDagger,520d3f36-af72-4385-89af-f585c8edc9cf
24,Blade of the First Blood,"Bloodthirst is a legendary Dagger wielded by Orin that makes critical hits more likely and can make targets vulnerable to Piercing or more likely to be hit, depending on which hand the weapon is equipped on.",1d4 + 2 (3~6) + Strength or Dexterity modifier,,Piercing damage,,,Daggers,Legendary,+2,One-Handed,True,False,False,True,1.5m / 5 ft,0.45kg / 0.9lb,640 gp,Improved Critical: The number you need to roll a Critical Hit while attacking is reduced by 1. This effect can stack.,True Strike: Cast as a cantrip (Recharge: Short rest).,Bound Weapon,Armour Class +1 (Off-Hand Only),Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,Reward for defeating Orin during Get Orin's Netherstone.,https://bg3.wiki/w/images/thumb/f/fa/Bloodthirst_Icon.png/300px-Bloodthirst_Icon.png,SPECIAL(see notes),SPECIAL(see notes)
25,Cold Snap,Cold Snap is a rare Dagger that chills enemies that attack and miss the wielder and increases the wielder's Armour Class if worn in the off-hand.,1d4 (1~4) + Strength or Dexterity modifier,,Piercing damage,1d4 (1~4),Cold damage,Daggers,Rare,None,One-Handed,True,False,False,True,1.5m / 5 ft,0.45kg / 0.9lb,190 gp,Armour Class +1 (Off-Hand Only),,,,,,,,,,,,Can be purchased from Ferg Drogher in Rivington.,https://bg3.wiki/w/images/thumb/a/a3/Dagger_PlusTwo_Icon.png/300px-Dagger_PlusTwo_Icon.png,MAG_Frost_Offhand_Dagger,a8661143-d94d-4f49-a92f-cbd0a9a500a1
26,Dagger +1,"Dagger +1 is an uncommon, lightly enchanted (+1) variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",1d4 + 1 (2~5) + Strength or Dexterity modifier,,Piercing damage,,,Daggers,Uncommon,+1,One-Handed,True,True,False,True,1.5m / 5 ft,0.45kg / 0.9lb,40 gp,,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,"Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up. One can be found on a small hill overlooking the barn at the Blighted Village, stuck into a piece of meat roasting over a campfire. A Strength, Intelligence, or Sleight of Hand check is required to remove it.",https://bg3.wiki/w/images/thumb/a/aa/Dagger_PlusOne_Icon.png/300px-Dagger_PlusOne_Icon.png,WPN_HUM_Dagger_A_1,1eab180b-5bf9-48ea-aece-7ba20d1deb78
27,Dagger of Shar,"Dagger of Shar is an uncommon variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training.",1d4 (1~4) + Strength or Dexterity modifier,,Piercing damage,1d6 (1~6),Necrotic damage,Daggers,Uncommon,None,One-Handed,False,False,False,True,1.5m / 5 ft,0.45kg / 0.9lb,270 gp,Grip of Shadows: Deals an additional 1d6Necrotic damage if the target is not standing in sunlight.,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,Edge of Darkness: Create a cloud of Darkness while you attack. [See Notes],,,,This weapon appears to be unobtainable without cheats or mods.,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,DEN_Apprentice_DaggerOfShar,12f1e6ce-7042-481b-879b-fa81c7688c7d
28,Ritual Dagger of Shar,Ritual Dagger of Shar is an uncommon +1 Dagger that deals an additional 1d4 Necrotic damage on a hit.,1d4 + 1 (2~5) + Strength or Dexterity modifier,,Piercing damage,1d4 (1~4),Necrotic damage,Daggers,Uncommon,+1,One-Handed,True,True,False,True,1.5m / 5 ft,0.45kg / 0.9lb,65 gp,,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,Ritual Dagger of Shar is found on an altar X:249Y:-847 in the Sharran Sanctuary inside Reithwin Town.,https://bg3.wiki/w/images/thumb/a/aa/Dagger_PlusOne_Icon.png/300px-Dagger_PlusOne_Icon.png,TWN_SharDagger,7773610f-f246-4837-a75f-2d260f815718
29,Dagger +2,"Dagger +2 is a rare, moderately enchanted (+2) variant of the Daggers family of weapons. It is a simple melee weapon wielded in one hand. As a finesse weapon, it can benefit from the wielder's Dexterity and not just their Strength. It's a light weapon that anyone can dual-wield without special training. Its design lends itself well to be thrown at enemies as a projectile.",1d4 + 2 (3~6) + Strength or Dexterity modifier,,Piercing damage,,,Daggers,Rare,+2,One-Handed,True,True,False,True,1.5m / 5 ft,0.45kg / 0.9lb,95 gp,,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,"Can be looted from Dolor the assassin, found at the Wine Festival in the Lower City of Baldur's Gate. Can be purchased from various traders in Chapter Three. Looted from Assassin's Folly in the final fight Atop the Netherbrain if a rogue is in the party.",https://bg3.wiki/w/images/thumb/a/a3/Dagger_PlusTwo_Icon.png/300px-Dagger_PlusTwo_Icon.png,WPN_HUM_Dagger_A_2,c68026c8-8af9-4a05-b77a-246a01bafe61
30,Dread Iron Dagger,Dread Iron Dagger is a rare +1 Dagger that deals extra Necrotic damage while the wielder is Hidden.,1d4 + 1 (2~5) + Strength or Dexterity modifier,,Piercing damage,,,Daggers,Rare,+1,One-Handed,True,False,False,True,1.5m / 5 ft,0.45kg / 0.9lb,190 gp,"Dread Iron Ambush: While its wielder is hidden, this weapon deals an extra 1d6Necrotic.",,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,Sold by Echo of Abazigal in the Murder Tribunal after the player character accepts Bhaal and becomes an Unholy Assassin.,https://bg3.wiki/w/images/thumb/a/aa/Dagger_PlusOne_Icon.png/300px-Dagger_PlusOne_Icon.png,MAG_Zhentarim_SleeperDagger,9829ba14-b236-4e50-ad54-426ff618074b
31,Gleamdance Dagger,"Gleamdance Dagger is a rare +2 Dagger that sheds light in a radius and increases the wielder's Armour Class, provided it is equipped in the wielder's off-hand.",1d4 + 2 (3~6) + Strength or Dexterity modifier,,Piercing damage,,,Daggers,Rare,+2,One-Handed,True,True,False,True,1.5m / 5 ft,0.45kg / 0.9lb,190 gp,Gleamdance Dagger: Glowing: This object shines with a glowing light in a radius of 6m / 20ft.,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,Looted from Farlin at the docks X:-210Y:99 west of Rivington.,https://bg3.wiki/w/images/thumb/a/a3/Dagger_PlusTwo_Icon.png/300px-Dagger_PlusTwo_Icon.png,MAG_WYRM_Farlin_Dagger,3d449afb-b99a-492c-b636-85ced6b39e69
32,Goblinbane Dagger,Goblinbane Dagger is an uncommon dagger that grants the wielder defensive capabilities against Goblins. Any goblin attacking the wielder of Worgfang suffers from Disadvantage on its Attack Rolls.,1d4 (1~4) + Strength or Dexterity modifier,,Piercing damage,,,Daggers,Uncommon,None,One-Handed,True,True,False,True,1.5m / 5 ft,0.45kg / 0.9lb,260 gp,Goblin's Undoing: Goblins have Disadvantage on Attack rolls against the wielder.,,,,Piercing Strike: Stab an enemy and possibly inflict Gaping Wounds. Undead and Constructs can't suffer Gaping Wounds.,,,,,,,,,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,GOB_WolfPens_BloodFang,529fe100-de0b-4a34-a669-4861ee4538a2
